菜名,工艺,口味,时间,难度,主料,辅料
芙蓉蛋羹虾,蒸,咸鲜味,15分钟,初中水平,"['豆腐 1个', '鸡蛋 3个', '虾仁 30克']","['青豆 30克', '玉米 30克', '胡萝卜 20克', '葱白 5克', '大蒜 5克', '鸡胗 30克', '鸡精 5克', '亚麻籽油 30克']"
自制豆腐皮,煮,家常味,2小时,新手尝试,['黄豆 500克'],"['椒盐 8克', '水 10毫升']"
凉拌绝味千张,拌,香辣味,10分钟,未知,"['千张 2张', '黄瓜 半根', '黑木耳 若干朵']","['大蒜 适量', '花生 适量', '白糖 适量', '辣椒 适量', '青椒 1根', '花生油 适量', '酱油 2勺', '醋 1勺', '盐 适量', '鸡精 适量', '香菜 适量']"
沙县拌面,拌,家常味,10分钟,初级入门,['面条 300克'],"['芝麻油 1勺', '盐 1小勺', '花生酱 1勺', '猪油 5克', '葱白 10克', '大蒜 10克', '酱油 15毫升']"
大蒜香蒸芹菜,蒸,大蒜香味,30分钟,中级掌勺,['芹菜 150克'],"['猪油 半汤勺', '小麦面粉 半小碗', '酱油 2汤勺', '苹果醋 1汤勺', '大蒜 半头']"
焦熘猪肉,熘,家常味,10分钟,未知,"['猪肉 适量', '青椒 1个', '胡萝卜 半根']","['酱油 1勺', '白糖 少许', '盐 少许', '芝麻 少许']"
豉花生油鸡,炖,家常味,60分钟,初中水平,['田鸡 500克'],"['盐 适量', '葱白 几段', '冰糖 2把', '生姜 3片']"
西红柿炒蛋,炒,家常味,10分钟,新手尝试,"['西红柿 5个', '鸡蛋 5个']","['葱白 1根', '花生油 适量', '盐 1勺', '白糖 少许']"
猪肉白菜炖粉条,炖,家常味,30分钟,中级掌勺,"['白菜 400克', '猪肉 200克', '粉条 150克']","['芝麻油 90克', '盐 3克', '酱油 20克', '蚝油 25克', '生姜 12克', '花椒 1克', '八角 1个', '生姜 1个', '小葱 10克']"
文思豆腐羹,煮,家常味,15分钟,初中水平,"['豆腐 100克', '火腿 25克', '香菇 10克', '黄瓜 25克', '料酒 500克']","['盐 3克', '淀粉 15克', '鸡精 1克']"
干锅娃娃菜,炒,香辣味,10分钟,新手尝试,"['娃娃菜 1棵', '猪肉 100克', '青椒 5个']","['洋葱 1个', '小葱 3棵', '干辣椒 8个', '大蒜 4瓣', '豆瓣酱 适量', '料酒 1茶匙', '蚝油 适量', '白糖 少许']"
椒盐排骨,炸,咸鲜味,30分钟,未知,['排骨 400克'],"['大蒜 20克', '鸡蛋 1个', '淀粉 10克', '椒盐 10克', '葱白 少许', '生姜 少许', '大蒜 少许', '酱油 一勺', '盐 少许']"
手撕包菜,炒,家常味,10分钟,新手尝试,['包菜 300克'],"['芝麻油 适量', '大蒜 2瓣', '干辣椒 3个', '酱油 1/2茶勺', '盐 1茶勺', '白糖 1茶勺', '米醋 1汤勺']"
大蒜丝蒸生蚝,蒸,咸鲜味,30分钟,未知,"['生蚝 8', '粉丝 适量', '大蒜 两头', '红椒 适量', '小葱 适量']","['花生油 适量', '芝麻酱 适量', '鸡精 适量', '花生油 适量', '蚝油 适量']"
红焖羊排的家常做法，下饭下酒都很不错的,炖,家常味,60分钟,初级入门,"['羊排 400克', '土豆 2个']","['胡萝卜 少许', '花椒 少许', '酱油 2勺', '豆瓣酱 1勺', '葱白 1根', '生姜 4片', '白糖 1勺', '芝麻油 1勺', '盐 适量']"
炒羊血,炒,家常味,15分钟,新手尝试,['羊血 250克'],"['花生油 5克', '花椒 1克', '八角 1克', '盐 2克', '大蒜 3克', '干辣椒 1克', '葱白 3克', '生姜 3克', '酒酿 5克']"
春天不可错过，野菜这样吃味道超赞…蒸豌,蒸,家常味,30分钟,未知,"['豌豆苗 500克', '小麦面粉 适量']","['盐 适量', '大蒜 10瓣', '大蒜 2根', '酱油 2勺', '米醋 2勺', '白糖 1勺', '辣椒 1勺', '花生油 适量']"
蒲公英炒鸡蛋,炒,家常味,10分钟,未知,"['蒲公英 100克', '鸡蛋 2个']","['大葱 15克', '盐 4克', '花生油 1勺']"
温沙拉，特别适合天气冷的时候吃,煮,咸鲜味,15分钟,未知,"['荞麦 1小杯', '虾仁 10个', '西兰花 1个', '辣椒 适量', '洋葱 适量']","['亚麻籽油 1勺', '酱油 1勺', '米醋 1勺']"
麻婆豆腐,炒,家常味,10分钟,新手尝试,"['豆腐 两块', '青椒 适量']","['豆瓣酱 一勺', '小葱 少许', '大蒜 少许', '白糖 少许', '盐 少许', '酱油 少许', '虾皮 少许']"
香方炸豆腐,炸,家常味,15分钟,中级掌勺,"['豆腐 600克', '猪肉 200克', '香菇 5个', '芹菜 适量']","['鸡精 2勺', '花生油 适量', '胡椒粉 少许', '酱油 1/2勺', '盐 2克', '味精 1克']"
蒸豌豆,蒸,家常味,10分钟,新手尝试,"['豌豆 200克', '鸡蛋 1个', '小麦面粉 80克']","['盐 1勺', '酱油 2勺', '蚝油 1勺', '醋 3勺', '猪油 1勺', '大蒜 1头']"
韩式辣拌萝卜丝,拌,其它口味,10分钟,新手尝试,['白萝卜 500克'],"['辣椒粉 1茶匙', '盐 1/2茶匙', '白糖 3茶匙', '小葱 2棵', '大蒜 3瓣', '芝麻 1茶匙']"
零失败，巨简单！一包调料就能搞定的麻辣,煮,麻辣味,30分钟,未知,"['咸鱼 300克', '鸡腿菇 150克', '苦参 一把', '辣椒酱 一包']","['干辣椒 一把', '花椒 适量', '大蒜 一头', '小葱 一把']"
#冬至大如年#香煎鸡脯,煎,咸鲜味,30分钟,初级入门,['鸡肉 1块'],"['花生油 适量', '盐 适量', '蚝油 适量', '胡椒粉 适量', '辣椒酱 适量', '胡椒粉 适量', '五香粉 少许', '孜然 适量', '生菜 适量']"
红烧黄花鱼,烧,酸甜味,30分钟,未知,['黄鱼 1只'],"['葱白 适量', '生姜 适量', '盐 适量', '味精 适量', '胡椒 适量', '白糖 适量', '醋 适量']"
干煸牛肉,干煸,麻辣味,10分钟,初中水平,['牛肉 180克'],['芹菜 100克']
西红柿牛腩(料酒版),炖,茄汁味,60分钟,初级入门,"['牛腩 100克', '西红柿 1个', '洋葱 1/4个', '胡萝卜 半根']","['生姜 6片', '大蒜 2瓣', '料酒 60克']"
土法红烧羊肉,蒸,咸鲜味,60分钟,初级入门,['羊肉 1000克'],"['料酒 100克', '酱油 50克', '酱油 10克', '冰糖 50克']"
土豆炖大排,蒸,家常味,60分钟,未知,['土豆 500克'],"['料酒 适量', '大葱 适量']"
凉拌土豆丝,煮,家常味,5分钟,未知,['土豆 两个'],['豆瓣酱 两勺']
大蒜泥拌鸡蛋,拌,家常味,10分钟,新手尝试,['鸡蛋 2个'],"['大蒜 2克', '辣椒 1克', '大葱 1克', '花生油 1克', '醋 1克']"
京酱肉丝卷,炒,酱香味,30分钟,初级入门,"['猪肉 适量', '鸡蛋 100克', '生菜 适量', '淀粉 适量']","['盐 适量', '料酒 适量', '淀粉 适量', '白糖 适量', '大葱 适量']"
杂蔬炒饭,炒,家常味,5分钟,初级入门,"['大米 1碗', '鸡蛋 1个']","['大葱 半个', '玉米 适量', '花生油 10克']"
五彩养颜拌六丝,拌,家常味,10分钟,新手尝试,"['绿豆芽 50g', '豆腐皮 20克', '胡萝卜 20克', '黄瓜 20克', '黑木耳 10克', '香菜 5克']","['盐 1点', '辣椒油 3克', '蜂蜜 1小勺', '柠檬 2个']"
火腿炒青瓜,炒,家常味,15分钟,未知,['火腿 两根'],[]
鱿鱼杂蔬干锅,烧,麻辣味,30分钟,未知,"['鱿鱼 1个', '土豆 1个']","['料酒 半小碗', '白糖 少许']"
烤鸡翅根,烤,大葱香味,30分钟,未知,['鸡翅 五个'],"['大葱 适量', '料酒 适量', '盐 适量', '鸡精 适量', '芝麻 适量']"
咖喱辣冬瓜,炒,咖喱味,15分钟,未知,['冬瓜 300克'],"['咖喱 适量', '辣椒酱 适量', '盐 适量']"
胡萝卜毛豆炒肉丁,炒,咸鲜味,15分钟,新手尝试,"['毛豆 200克', '胡萝卜 半个', '辣椒 1个', '生姜 适量', '大蒜 适量', '猪肉 100克']","['猪油 适量', '盐 适量']"
厨房小白版安利健身必备凉拌扇贝,煮,咸鲜味,15分钟,未知,['扇贝 150克'],"['大蒜 20克', '花椒 20粒', '生姜 20克', '蚝油 1勺', '料酒 2勺', '白糖 1.5勺', '胡椒粉 2勺']"
辣子鸡,炒,香辣味,30分钟,初级入门,"['鸡翅 6个', '鸡腿 5个', '花椒 1小把']","['辣椒 7个', '干辣椒 1碗', '酱油 15克', '蚝油 10克', '盐 2克', '胡椒粉 2克', '料酒 5克', '大蒜 3克', '生姜 4片']"
麦香馒头片儿,煎,甜味,15分钟,未知,[],"['牛奶 半包', '鸡蛋 两个']"
干锅花菜,炒,家常味,10分钟,初级入门,"['花菜 1颗', '猪肉 1块']","['花生油 1勺', '盐 1勺', '鸡精 1小勺', '蒜苗 1颗', '生姜 1块', '酱油 2克']"
辣椒炒土豆片,炒,家常味,30分钟,未知,['青椒 2个'],"['土豆 一个', '料酒 少许', '酱油 少许', '盐 少许', '鸡精 少许', '大葱 少许', '花生油 适量']"
炒西兰花,炒,家常味,30分钟,未知,['西兰花 400克'],"['料酒 少许', '酱油 少许', '盐 少许', '鸡精 少许', '大葱 少许', '亚麻籽油 适量']"
土豆炖鸡，简单易学，配上米饭吃超下饭！,炖,家常味,30分钟,初级入门,"['鸡翅 500克', '土豆 5个']","['花生油 1勺', '料酒 1勺', '蚝油 1勺', '酱油 1勺', '花椒 少许', '生姜 4片', '大葱 少许', '盐 适量']"
辣炒年糕,炒,香辣味,5分钟,初级入门,"['大米 1包', '辣椒酱 1袋']","['大葱 1根', '花生油 少许', '水 2碗']"
小大蒜炒肉片,炒,家常味,10分钟,未知,"['猪肉 200克', '大蒜 250克']","['白糖 1小勺', '胡椒粉 少许', '料酒 少许', '淀粉 2勺', '豆瓣酱 1小勺', '蚝油 适量']"
黄油黑椒西葫芦（快手菜）,炒,黑椒味,10分钟,未知,"['西葫芦 2个', '大蒜 3瓣', '黄油 8克']","['盐 5克', '胡椒粉 适量', '米醋 3克']"
松茸烧白菜,烧,咸鲜味,30分钟,初级入门,['白菜 350克'],"['花生油 适量', '盐 适量', '白糖 适量', '大葱 适量', '生姜 适量']"
角瓜炒鸡蛋,炒,家常味,15分钟,未知,['鸡蛋 3个'],"['花生油 适量', '大葱 适量', '盐 适量', '蚝油 适量', '味精 少许']"
小葱鸡蛋饼,其它工艺,大葱香味,10分钟,初级入门,['小麦面粉 200克'],"['鸡蛋 2个', '大葱 一根', '花生油 少许', '盐 半小勺']"
凉拌土豆丝,拌,香辣味,10分钟,中级掌勺,['土豆 两个'],"['大蒜 2克', '干辣椒 三个', '生姜 2克', '辣椒油 一大勺', '白糖 四分之一勺', '芝麻油 半勺', '小葱 3克']"
海米粉丝蒸娃娃菜,蒸,家常味,15分钟,初级入门,"['娃娃菜 1棵', '粉丝 50克']","['花生油 适量', '盐 4克', '大蒜 1头', '虾米 40克', '水 适量']"
茄子焖土豆,焖,家常味,30分钟,新手尝试,"['茄子 1个', '土豆 2个']","['豆瓣酱 1大勺', '大葱 适量', '盐 适量', '花生油 适量', '白糖 半勺', '鸡精 1小勺']"
电饭煲红烧羊肉,烧,家常味,30分钟,初中水平,['羊肉 1000克'],"['花生油 适量', '盐 适量', '生姜 10克', '花椒 2克', '茴香 2克']"
老干妈版黄瓜炒鸡蛋,炒,咸鲜味,15分钟,未知,"['黄瓜 一根', '鸡蛋 两个', '洋葱 少许']","['花生油 少许', '盐 少许']"
奶黄包,蒸,甜味,30分钟,新手尝试,"['黄油 25克', '白糖 40克', '蛋黄 3个', '牛奶 80克']","['小麦面粉 200克', '牛奶 130克']"
火腿焖笋,焖,咸鲜味,15分钟,初级入门,"['火腿 50克', '竹笋 300克']","['大葱 适量', '花生油 少许', '白糖 少许', '盐 少许']"
