菜名,工艺,口味,时间,难度,主料,辅料
盐蒸橙子,蒸,家常味,5分钟,新手尝试,['橙子 1个'],"['盐 4克', '水 200毫升']"
年糕,蒸,甜味,数小时,初中水平,"['糯米 1000克', '米粉 500克', '白糖 100克']","['花生油 100毫升', '水 500毫升']"
把子肉,煮,酱香味,30分钟,初中水平,"['猪肉 300克', '水 300毫升']","['生姜 5克', '花生油 5毫升', '小葱 1根', '料酒 5克', '酱油 8克', '白糖 20克', '盐 2克', '花椒 1克', '肉桂 1个', '八角 2个', '陈皮 1个']"
水饺,煮,家常味,30分钟,初级入门,"['猪肉 250克', '黄瓜 200克']","['五香粉 3克', '花生油 5克', '酱油 5克', '蚝油 3克', '生姜 适量', '葱白 适量', '盐 3克']"
饱腹感极强的减脂菜：凉拌三丝,拌,家常味,15分钟,未知,"['包菜 100克', '紫甘蓝 100克', '粉丝 30克', '盐 5克', '亚麻籽油 3克']","['盐 2克', '味精 1勺', '白糖 5克', '苹果醋 2勺', '蚝油 1勺', '水 1勺']"
西红柿鸡肉汤,煮,酸甜味,15分钟,未知,"['鸡肉 200克', '西红柿 1个', '丝瓜 半根']","['盐 2克', '葱白 少许', '花生油 适量']"
炸鸡,炸,家常味,30分钟,初级入门,['鸡翅 6个'],"['水 500毫升', '孜然 50克', '味精 100克', '花生油 20毫升', '小麦面粉 50克', '淀粉 30克']"
香辣水煮鱼,煮,香辣味,15分钟,中级掌勺,"['鲷鱼 1000克', '白菜 500克', '辣椒 50克']","['花生油 5毫升', '盐 10克', '生姜 5克', '酱油 1毫升', '料酒 1毫升', '鸡精 1克', '小麦面粉 5克', '八角 1个', '陈皮 5克', '香叶 5片', '胡椒 1克']"
蛤蜊炖蛋,蒸,家常味,15分钟,新手尝试,"['鸡蛋 2个', '蛤蜊 12只']","['料酒 8克', '盐 2克', '花生油 10克', '花生油 5克']"
鲜肉粽子,煮,咸鲜味,60分钟,初级入门,"['糯米 300克', '猪肉 150克', '水 500毫升']","['五香粉 2克', '料酒 5克', '酱油 5克', '盐 2克', '竹叶 6张']"
木须肉,炒,其他口味,30分钟,未知,"['猪肉 200克', '鸡蛋 2个', '黑木耳 8朵', '胡萝卜 中等大小半根']","['葱白 食指长1段', '淀粉 1.5茶匙（7.5克）', '白糖 1茶匙（5克）', '盐 1茶匙（5克）', '料酒 1茶匙（5毫升）', '酱油 1汤匙（15毫升）', '花生油 4汤匙（60毫升）']"
蜜汁鸡翅饭【宝宝辅食】,煎,咸鲜味,30分钟,新手尝试,"['鸡翅 6个', '番茄酱 20克', '淀粉 15克']","['花生油 适量', '香菇 适量', '酱油 适量', '生姜 适量', '蚝油 适量', '葱白 适量']"
酥肉,炸,咸鲜味,10分钟,初级入门,['猪肉 400克'],"['盐 2克', '花椒 1克', '料酒 5毫升', '胡椒粉 1克', '小麦面粉 80克', '淀粉 80克', '鸡蛋 2个', '水 10毫升', '花生油 3毫升']"
